session_id,timestamp,label,quaternion_w,quaternion_x,quaternion_y,quaternion_z,position_x,position_y,position_z,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,gravity_x,gravity_y,gravity_z
7_20251106_165857,1762419500597,7,0.02093411423265934,-0.02883247658610344,-0.8112702965736389,-0.5835845470428467,2.305673599243164,4.679540157318115,1.4166029691696167,0.6456886529922485,9.268346786499023,-3.231121063232422,-0.016180280596017838,0.001710421172901988,0.0025809025391936302,-1.3469161987304688,-9.910778045654297,37.797203063964844,-0.0538555383682251,-0.06581687927246094,-0.008090019226074219,0.6995441913604736,9.334163665771484,-3.2230310440063477
7_20251106_165857,1762419500616,7,0.02119828760623932,-0.028457263484597206,-0.8113027811050415,-0.5835483074188232,2.3073365688323975,4.676419734954834,1.4120376110076904,0.6756149530410767,9.310242652893066,-3.101839780807495,-0.011904226616024971,-0.022724168375134468,0.012965602800250053,-1.3451108932495117,-9.885124206542969,37.74366760253906,-0.01952826976776123,-0.010712623596191406,0.09096956253051758,0.6951432228088379,9.320955276489258,-3.1928093433380127
7_20251106_165857,1762419500637,7,0.021561143919825554,-0.028138799592852592,-0.8113172650337219,-0.5835303068161011,2.307784080505371,4.674982070922852,1.4106446504592896,0.5930185317993164,9.360519409179688,-2.9821348190307617,-0.011904226616024971,-0.026389356702566147,0.026404626667499542,-1.3690876960754395,-9.886173248291016,37.688621520996094,-0.08169978857040405,0.03165149688720703,0.16853976249694824,0.6747183203697205,9.32886791229248,-3.15067458152771
7_20251106_165857,1762419500656,7,0.022136276587843895,-0.027624016627669334,-0.8112534284591675,-0.5836221575737,2.308115243911743,4.673918724060059,1.4098517894744873,0.6612503528594971,9.372488975524902,-3.01206111907959,-0.00579557940363884,-0.008674278855323792,0.04595229774713516,-1.3347430229187012,-9.92159652709961,37.70281982421875,-0.010774374008178711,0.0348968505859375,0.11089086532592773,0.6720247268676758,9.337592124938965,-3.1229519844055176
7_20251106_165857,1762419500674,7,0.022706003859639168,-0.027248630300164223,-0.8110880851745605,-0.5838476419448853,2.30861496925354,4.673023700714111,1.4092131853103638,0.7330732941627502,9.400022506713867,-3.0659284591674805,0.018028145655989647,-0.021502438932657242,0.05878045782446861,-1.3228535652160645,-9.921207427978516,37.743858337402344,0.04883885383605957,0.04994392395019531,0.04561877250671387,0.6842344403266907,9.350078582763672,-3.1115472316741943
7_20251106_165857,1762419500694,7,0.02310025691986084,-0.027426861226558685,-0.8110659122467041,-0.583854615688324,2.3092730045318604,4.672264575958252,1.4085936546325684,0.7510290741920471,9.383262634277344,-3.1162045001983643,0.03574322164058685,-0.02822195179760456,0.05755872651934624,-1.3472256660461426,-9.922796249389648,37.74287414550781,0.05343574285507202,0.02654743194580078,-0.003725767135620117,0.6975933313369751,9.356715202331543,-3.112478733062744
7_20251106_165857,1762419500712,7,0.023574072867631912,-0.027619052678346634,-0.811181902885437,-0.5836654901504517,2.310093879699707,4.67167854309082,1.4077650308609009,0.7689847946166992,9.406006813049316,-3.199997901916504,0.03574322164058685,-0.008674278855323792,0.034956734627485275,-1.3472256660461426,-9.922796249389648,37.74287414550781,0.0571131706237793,0.03943347930908203,-0.07001519203186035,0.7118716239929199,9.366573333740234,-3.1299827098846436
7_20251106_165857,1762419500732,7,0.023821530863642693,-0.02790958620607853,-0.8113341331481934,-0.5834299921989441,2.311095714569092,4.671288967132568,1.4066725969314575,0.7713788747787476,9.431145668029785,-3.216756820678711,0.014362955465912819,0.012705986388027668,-0.011468986980617046,-1.384488582611084,-9.937736511230469,37.74114227294922,0.047605812549591064,0.051657676696777344,-0.06941938400268555,0.7237730622291565,9.379487991333008,-3.1473374366760254
7_20251106_165857,1762419500750,7,0.023988572880625725,-0.027743026614189148,-0.8114433288574219,-0.5832791924476624,2.311845541000366,4.6709771156311035,1.4053406715393066,0.6804031133651733,9.388051986694336,-3.308929443359375,-0.007017308846116066,0.03347538784146309,-0.053007788956165314,-1.445220947265625,-9.941438674926758,37.71165466308594,-0.034695982933044434,0.0068511962890625,-0.1292736530303955,0.7150990962982178,9.381200790405273,-3.1796557903289795
7_20251106_165857,1762419500770,7,0.024069324135780334,-0.027174614369869232,-0.8114469051361084,-0.583297610282898,2.311845541000366,4.6709771156311035,1.4053406715393066,0.6804031133651733,9.388051986694336,-3.308929443359375,-0.02839757315814495,0.024923279881477356,-0.07072286307811737,-1.4674782752990723,-9.905355453491211,37.71147155761719,-0.034695982933044434,0.0068511962890625,-0.1292736530303955,0.7150990962982178,9.381200790405273,-3.1796557903289795
7_20251106_165857,1762419500788,7,0.023892728611826897,-0.0264117568731308,-0.8114467859268188,-0.5833401083946228,2.3115923404693604,4.67012882232666,1.401878833770752,0.41226404905319214,9.38805103302002,-3.198800802230835,-0.05466475337743759,0.00720820389688015,-0.04079049080610275,-1.4605226516723633,-9.992864608764648,37.75066375732422,-0.21143501996994019,0.012811660766601562,0.008240938186645508,0.6236990690231323,9.375239372253418,-3.2070417404174805
